"","mun_code","municipio","incidence 2007","incidence 2008","incidence 2009","incidence 2010","incidence 2011","incidence 2012","incidence 2013","incidence 2014","incidence 2015","incidence 2016","incidence 2017","incidence 2018","incidence 2019","incidence 2020","incidence 2021","incidence 2022","incidence 2023","incidence 2024"
"81","130030","130030 AUTAZES",0,0,0,0,0,0,0,2.75474504834578,2.7002943320822,0,2.60050969990118,0,0,0,0,0,0,0
"82","130040","130040 BARCELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","130050","130050 BARREIRINHA",0,0,0,0,0,0,0,3.31103900403947,0,0,0,0,0,0,0,0,0,0
"84","130060","130060 BENJAMIN CONSTANT",0,0,3.20512820512821,0,5.84897935310288,0,0,0,0,0,0,0,2.32644705006514,0,0,0,0,2.46858722752968
"85","130063","130063 BERURI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80607487864661,0,0
"86","130068","130068 BOA VISTA DO RAMOS",0,0,0,0,6.5252854812398,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","130070","130070 BOCA DO ACRE",0,3.24065072266511,0,3.26455993732045,3.235617679415,19.2486606140323,27.445718467919,36.201279111862,23.8820228073318,5.91016548463357,5.85205992509363,8.82976218507181,0,11.5490111159232,2.86057554780022,0,11.2844528450927,0
"88","130080","130080 BORBA",0,0,0,0,5.64206725344166,0,0,0,0,0,0,2.46517934179712,0,0,0,0,0,0
"89","130083","130083 CAAPIRANGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","130090","130090 CANUTAMA",0,8.44309354947653,0,0,0,0,0,6.69164882226981,0,0,0,0,0,0,0,0,0,0
"91","130100","130100 CARAUARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","130110","130110 CAREIRO",0,0,0,0,0,5.9671211623952,0,0,0,0,0,0,0,0,0,0,0,0
"93","130115","130115 CAREIRO DA VARZEA",0,0,12.1457489878543,0,0,4.01010546577375,0,0,0,0,0,0,0,0,0,0,0,0
"94","130120","130120 COARI",0,0,0,0,0,2.58715477653451,1.22963418383031,0,0,1.1914832775322,0,2.37326751471426,2.35025911606755,0,1.15322961954955,0,0,0
"95","130130","130130 CODAJAS",0,0,0,0,0,12.4652013130012,0,0,0,0,0,7.11743772241993,3.49198589237699,3.42841470104224,3.36802398033074,0,0,0
"96","130140","130140 EIRUNEPE",6.50406504065041,0,0,3.26104679602152,0,0,0,0,0,0,0,0,0,0,0,0,6.02954476936991,0
"97","130150","130150 ENVIRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81868963109508,0
"98","130160","130160 FONTE BOA",0,5.05484506899864,5.32028091083209,4.3826971118026,8.69149537177871,4.31071644107251,0,0,0,0,0,0,5.67891419160657,5.88062334607468,6.09421658845755,0,0,0
"99","130165","130165 GUAJARA",0,0,0,0,0,0,0,0,12.6374320738026,0,6.12032560132199,6.0916179337232,17.9877683175441,23.6169333412056,11.6326411911825,7.24165399377218,14.4770177343467,13.9547864917667
"100","130170","130170 HUMAITA",0,0,0,0,2.21704910763773,0,0,17.9175791359745,0,1.91007372884593,0,7.40727023573637,0,0,0,0,1.7399474535869,0
"101","130180","130180 IPIXUNA",0,0,0,0,0,0,0,0,0,0,3.53369377009788,0,0,0,3.2080071859361,0,4.11336432067788,15.7121533506167
"102","130185","130185 IRANDUBA",0,0,2.95115832964439,0,0,7.15188213698238,0,2.20994475138122,2.17466945024356,0,4.21878625519438,4.20424208025898,2.0705648500911,0,0,1.6731641206686,1.63497539362033,1.49000208600292
"103","130190","130190 ITACOATIARA",0,3.41312460180213,2.23618596122454,0,0,0,0,0,4.11853133172711,0,1.00146213471669,2.00090040518233,0.986806398452688,0,0.961113353708936,0.963149885385164,0.965269599799224,0.888730892285816
"104","130195","130195 ITAMARATI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","130200","130200 ITAPIRANGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","130210","130210 JAPURA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","130220","130220 JURUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","130230","130230 JUTAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","130240","130240 LABREA",0,0,0,0,0,0,0,2.35632319328919,0,2.2690658255996,2.22910768819242,0,0,0,0,0,0,2.04386126269749
"110","130250","130250 MANACAPURU",0,0,4.62545387266125,1.1745222630695,1.16173702920607,2.29924699660861,2.17876790674873,1.07531506731472,2.12370586673746,3.14696318053079,2.07339829981339,1.03911218255123,0,0,0,1.94673726833827,0,0.903415815197261
"111","130255","130255 MANAQUIRI",0,0,0,0,0,0,0,0,0,0,0,0,0,3.02581016067052,0,0,0,0
"112","130260","130260 MANAUS",2.5404259716985,2.16499610885834,2.76077695165362,1.72029740057513,3.27435135099737,2.63180792313832,2.67382781658752,2.96985449197917,2.72147060495862,1.52789044643526,2.48795454460104,1.63136395077196,1.51184530798809,0.901071373863524,1.24118811846077,1.55738147718606,1.01759518997291,1.22823932769688
"113","130270","130270 MANICORE",2.61876080238831,0,0,0,0,0,1.94814049989285,0,0,0,1.8278862323609,0,1.79368979928611,0,0,0,0,3.46272377852419
"114","130280","130280 MARAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","130290","130290 MAUES",2.08663717552792,2.04884445172922,0,0,1.88065371523141,0,1.73421431420495,0,3.33427804544621,6.54557355588283,1.60740693113869,0,0,0,0,1.6348684748312,0,0
"116","130300","130300 NHAMUNDA",0,0,0,0,0,0,0,0,0,0,4.78423117405033,0,9.44599253766589,0,0,0,0,0
"117","130310","130310 NOVA OLINDA DO NORTE",0,0,0,0,0,0,0,0,0,0,2.74491504487936,2.72323738460282,0,0,0,0,0,0
"118","130320","130320 NOVO AIRAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","130330","130330 NOVO ARIPUANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","130340","130340 PARINTINS",0.861378377679964,0.945698019708347,0.932409626196981,1.9601501475013,2.91414916558196,4.81565666294256,0.915541313801785,3.62282743567217,3.58503248935693,2.66155647822847,3.51395038302059,7.06913615156228,1.75019470916139,0,1.71763756129819,1.03895024467278,0,0.980815253638825
"121","130350","130350 PAUINI",0,5.28038863660365,0,0,0,5.45583501554913,0,5.1907604464054,0,0,0,10.347146774277,0,0,0,4.91376345142745,0,0
"122","130353","130353 PRESIDENTE FIGUEIREDO",0,0,3.80459595190991,0,3.58089235837571,0,0,0,0,0,0,0,0,2.68867797703869,0,0,0,0
"123","130356","130356 RIO PRETO DA EVA",0,0,0,0,0,3.71085052694077,0,3.3589734976991,0,0,3.12490234680166,0,0,0,0,0,0,0
